client_id,trans_date,small_group,amount_rur
33172,6,4,71.463
33172,6,35,45.017
33172,8,11,13.887
33172,9,11,15.983
33172,10,11,21.341
33172,11,11,17.941
33172,12,11,17.726
33172,13,18,47.397
33172,13,1,220.009
33172,13,11,9.067
33172,16,3,18.319
33172,16,1,9.846
33172,16,11,19.666
33172,17,82,2.544
33172,19,3,16.388
33172,19,32,45.795
33172,19,1,4.184
33172,19,11,15.479
33172,20,1,35.17
33172,23,11,18.847
33172,24,3,12.938
33172,24,1,6.457
33172,24,12,28.073
33172,24,11,15.612
33172,25,11,12.639
33172,28,82,9.877
33172,29,1,20.356
33172,31,1,6.448
33172,32,11,4.27
33172,33,1,14.986
33172,34,4,26.332
33172,34,40,242.898
33172,35,1,79.635
33172,35,11,7.556
33172,37,4,8.569
33172,37,9,285.893
33172,37,11,7.504
33172,38,35,11.77
33172,38,11,13.189
33172,40,18,53.077
33172,41,24,263.941
33172,42,18,23.03
33172,43,1,28.164
33172,45,1,14.491
33172,45,11,7.116
33172,47,18,12.507
33172,47,1,60.81
33172,48,82,2.702
33172,49,9,340.625
33172,50,3,21.564
33172,51,3,4.313
33172,54,1,22.76
33172,55,18,85.637
33172,55,1,11.22
33172,56,33,126.624
33172,56,1,246.122
33172,57,3,6.469
33172,57,1,22.211
33172,58,82,10.487
33172,58,1,23.983
33172,59,1,15.02
33172,61,11,16
33172,62,18,73.959
33172,63,4,4.045
33172,63,25,9.159
33172,63,15,8.198
33172,63,9,579.997
33172,64,12,18.89
33172,68,1,33.855
33172,70,23,439.47
33172,70,33,126.624
33172,70,9,551.99
33172,71,18,46.482
33172,71,1,46.75
33172,71,11,16
33172,72,24,316.341
33172,73,12,12.365
33172,73,11,6.125
33172,74,12,12.076
33172,74,11,13.189
33172,75,12,14.7
33172,75,11,15.009
33172,76,4,19.692
33172,76,82,2.702
33172,76,1,45.112
33172,77,46,551.696
33172,77,25,12.938
33172,77,32,64.691
33172,77,9,621.03
33172,77,11,48.818
33172,78,18,45.715
33172,78,12,18.914
33172,78,11,11.601
33172,79,1,55.642
33172,79,12,10.006
33172,79,11,19.925
33172,80,12,13.83
33172,80,11,1.984
33172,81,12,11.127
33172,81,11,2.372
33172,82,12,19.509
33172,82,11,10.853
33172,84,31,34.157
33172,84,11,40.895
33172,85,25,21.564
33172,85,1,37.14
33172,85,12,20.917
33172,85,9,861.775
33172,85,11,12.076
33172,86,12,11.77
33172,86,11,14.151
33172,87,82,11.495
33172,87,12,22.119
33172,87,11,13.968
33172,88,12,13.189
33172,88,11,7.331
33172,89,1,29.263
33172,89,11,6.469
33172,90,28,40.497
33172,91,18,94.882
33172,92,1,16.692
33172,92,11,12.502
33172,93,3,27.477
33172,93,12,16.395
33172,93,11,31.873
33172,94,32,7.331
33172,94,1,23.63
33172,94,12,29.812
33172,94,11,17.337
33172,95,11,10.954
33172,96,80,11.989
33172,96,24,362.286
33172,96,32,11.678
33172,96,11,20.572
33172,97,32,187.761
33172,98,36,55.046
33172,98,1,33.252
33172,98,9,895.756
33172,98,11,45.062
33172,99,16,233.785
33172,99,3,18.319
33172,99,11,20.287
33172,100,11,19.463
33172,101,1,29.952
33172,101,11,20.787
33172,102,11,23.202
33172,103,3,17.251
33172,103,1,12.547
33172,103,11,21.066
33172,104,43,2111.162
33172,104,32,267.391
33172,104,11,18.286
33172,105,83,379.523
33172,105,9,251.046
33172,105,11,62.877
33172,106,1,21.391
33172,106,11,22.76
33172,107,43,91.544
33172,107,82,2.702
33172,107,11,18.114
33172,108,11,23.677
33172,109,1,24.496
33172,109,11,20.654
33172,110,11,24.409
33172,111,18,61.759
33172,112,32,7.785
33172,112,9,400.663
33172,113,12,15.983
33172,113,11,16.441
33172,114,1,38.422
33172,114,11,20.517
33172,115,11,19.051
33172,116,1,5.607
33172,116,11,41.17
33172,117,18,80.044
33172,117,1,59.991
33172,119,82,10.487
33172,119,35,54.47
33172,119,1,35.72
33172,120,24,91.544
33172,120,1,37.607
33172,120,11,37.607
33172,122,18,52.098
33172,122,83,9.057
33172,122,1,39.548
33172,122,9,179.518
33172,123,1,216.23
33172,123,11,16.395
33172,124,11,4.27
33172,126,24,190.235
33172,127,1,51.336
33172,129,12,13.601
33172,129,11,22.165
33172,130,11,20.379
33172,131,1,45.413
33172,131,12,4.27
33172,131,11,23.849
33172,132,3,18.319
33172,132,9,544.055
33172,132,11,38.987
33172,133,23,387.717
33172,134,11,14.62
33172,135,1,40.803
33172,135,11,13.24
33172,136,11,15.785
33172,137,18,96.857
33172,137,11,18.639
33172,138,82,2.702
33172,138,24,729.564
33172,139,3,22.898
33172,140,12,12.55
33172,140,84,250.14
33172,142,32,7.331
33172,143,1,32.691
33172,145,1,34.621
33172,146,4,7.03
33172,146,1,10.853
33172,146,84,114.489
33172,147,32,7.785
33172,147,1,8.884
33172,148,82,9.877
33172,148,1,30.225
33172,148,9,127.054
33172,149,4,38.728
33172,149,1,42.567
33172,150,58,5.822
33172,150,9,293.958
33172,150,11,16.432
33172,151,1,348.378
33172,151,11,23.504
33172,152,32,138.009
33172,152,18,54.513
33172,153,12,52.298
33172,154,12,77.414
33172,163,11,20.745
33172,164,11,17.251
33172,166,11,17.31
33172,168,82,2.544
33172,168,15,19.45
33172,168,32,27.477
33172,169,54,776.297
33172,169,11,20.242
33172,170,44,112.305
33172,170,11,17.357
33172,171,11,14.965
33172,172,11,7.202
33172,173,4,5.038
33172,173,11,15.02
33172,174,18,72.54
33172,175,1,102.994
33172,175,9,415.18
33172,175,11,25.645
33172,179,82,10.487
33172,179,1,95.843
33172,179,11,12.335
33172,180,21,376.085
33172,180,11,11.127
33172,182,1,18.547
33172,183,44,58.61
33172,183,85,301.893
33172,184,9,200.4
33172,185,32,8.798
33172,185,11,14.059
33172,186,4,30.065
33172,186,1,5.779
33172,186,11,14.196
33172,187,11,14.275
33172,189,35,23.585
33172,189,9,705.999
33172,190,80,130.013
33172,191,11,13.413
33172,193,11,16.166
33172,194,21,64.843
33172,194,1,174.331
33172,194,12,8.289
33172,194,11,15.095
33172,195,12,7.246
33172,196,18,81.745
33172,196,1,20.367
33172,196,9,11.448
33172,198,82,3.709
33172,198,1,3.309
33172,201,11,8.106
33172,202,4,10.437
33172,202,8,51.71
33172,202,12,6.555
33172,202,11,18.458
33172,203,9,614.802
33172,204,86,429.119
33172,205,1,46.803
33172,206,11,13.326
33172,207,24,253.288
33172,208,12,7.548
33172,209,82,11.495
33172,209,18,47.261
33172,209,12,14.059
33172,210,1,25.141
33172,212,12,25.963
33172,227,24,174.755
33172,230,82,2.702
33172,233,11,4.27
33172,238,11,4.534
33172,240,82,9.877
33172,243,11,27.386
33172,245,18,25.867
33172,247,1,42.384
33172,248,24,664.032
33172,248,1,12.938
33172,249,15,3.903
33172,251,24,272.024
33172,252,31,26.378
33172,256,24,348.593
33172,261,82,3.709
33172,264,32,7.331
33172,264,11,8.583
33172,266,17,30.189
33172,271,82,10.487
33172,271,3,27.477
33172,271,35,26.103
33172,271,11,20.287
33172,277,80,72.815
33172,277,11,9.113
33172,280,1,27.767
33172,280,8,86.169
33172,281,31,55.893
33172,281,11,57.274
33172,282,32,7.331
33172,283,1,54.453
33172,285,1,194.018
33172,287,32,7.331
33172,287,1,53.764
33172,289,32,99.193
33172,290,25,8.625
33172,290,24,230.776
33172,290,11,18.822
33172,291,82,2.544
33172,291,11,33.122
33172,292,32,7.785
33172,292,1,46.621
33172,293,32,49.459
33172,293,26,485.109
33172,293,1,27.545
33172,295,1,43.557
33172,296,1,7.739
33172,296,11,47.57
33172,297,1,32.386
33172,297,11,10.029
33172,301,1,30.838
33172,302,82,9.877
33172,304,1,23.957
33172,306,18,7.378
33172,306,11,39.109
33172,307,18,73.272
33172,309,11,11.817
33172,312,11,23.634
33172,314,11,11.515
33172,315,1,10.236
33172,316,9,178.074
33172,317,1,85.334
33172,317,11,11.127
33172,318,18,7.327
33172,320,24,174.623
33172,321,82,2.702
33172,321,24,386.38
33172,321,1,62.788
33172,322,3,25.877
33172,322,11,18.089
33172,323,1,57.164
33172,323,12,36.269
33172,327,1,18.502
33172,327,11,13.068
33172,328,1,86.042
33172,329,1,44.244
33172,329,12,11.586
33172,331,1,19.532
33172,333,3,27.477
33172,333,1,39.094
33172,333,11,27.386
33172,335,24,638.844
33172,335,18,94.109
33172,336,82,10.487
33172,337,1,24.324
33172,337,11,19.709
33172,338,1,44.664
33172,340,32,6.228
33172,341,18,25.6
33172,342,72,52.894
33172,343,12,18.803
33172,344,1,8.151
33172,345,24,189.547
33172,345,32,7.331
33172,345,13,384.68
33172,346,80,270.192
33172,346,25,9.159
33172,346,24,196.783
33172,348,18,82.432
33172,348,11,2.674
33172,349,36,191.066
33172,349,11,17.208
33172,350,1,20.517
33172,351,25,22.898
33172,351,82,2.702
33172,351,18,5.175
33172,351,1,36.146
33172,352,11,5.038
33172,353,11,11.601
33172,354,35,17.682
33172,354,1,11.207
33172,354,11,25.691
33172,355,11,26.351
33172,356,11,9.489
33172,357,32,39.634
33172,358,11,18.89
33172,359,11,22.668
33172,362,11,5.038
33172,363,82,10.487
33172,364,24,301.85
33172,364,1,38.217
33172,364,19,6.943
33172,366,23,374.148
33172,366,18,81.515
33172,366,9,33.079
33172,367,3,25.877
33172,368,4,7.664
33172,368,1,16.216
33172,369,18,71.592
33172,369,1,36.529
33172,371,1,32.221
33172,372,25,21.564
33172,372,35,43.472
33172,372,1,37.855
33172,374,87,109.908
33172,375,1,8.41
33172,375,88,31.914
33172,376,32,73.272
33172,376,11,14.577
33172,377,24,18.272
33172,377,1,29.473
33172,377,9,4.097
33172,377,11,70.082
33172,378,1,2.588
33172,378,88,32.744
33172,379,11,12.594
33172,380,1,4.485
33172,380,11,14.577
33172,381,1,19.888
33172,381,11,22.806
33172,382,82,2.702
33172,382,88,37.094
33172,382,11,16.853
33172,383,11,45.154
33172,384,1,57.098
33172,385,88,75.689
33172,386,3,8.243
33172,386,11,7.281
33172,387,1,51.685
33172,387,11,14.577
33172,388,4,26.103
33172,388,3,4.744
33172,388,11,6.469
33172,389,28,183.181
33172,389,19,6.469
33172,389,11,18.976
33172,390,9,6.686
33172,390,11,15.02
33172,391,18,52.665
33172,392,1,126.076
33172,393,3,4.579
33172,394,82,10.487
33172,394,11,15.009
33172,395,11,9.445
33172,397,36,11.678
33172,397,11,8.198
33172,398,11,13.715
33172,400,3,0.916
33172,400,11,3.45
33172,401,3,4.579
33172,401,18,35.796
33172,401,11,14.146
33172,402,11,35.537
33172,403,31,31.052
33172,404,11,14.577
33172,405,32,47.009
33172,405,35,5.862
33172,405,1,5.434
33172,405,11,27.935
33172,407,1,47.135
33172,409,3,4.579
33172,409,1,41.681
33172,409,11,19.752
33172,411,4,4.304
33172,411,20,7.763
33172,411,36,18.776
33172,414,25,8.625
33172,414,82,2.544
33172,414,11,13.327
33172,415,11,14.577
33172,417,3,17.251
33172,419,1,9.662
33172,420,82,10.487
33172,421,1,39.471
33172,423,11,16.395
33172,437,3,8.625
33172,438,1,8.801
33172,442,82,2.702
33172,447,83,118.152
33172,450,82,9.877
33172,452,65,16.029
33172,459,11,14.105
33172,460,1,17.675
33172,460,11,13.327
